elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
367;4.79;-1.77;367;-0.02;-0.16
368;4.86;-1.77;368;-0.02;-0.18
369;14.36;-1.63;369;-0.06;-0.16
370;14.58;-1.63;370;-0.06;-0.18
371;-12.85;-1.63;371;-0.08;-0.16
372;-4.28;-1.77;372;-0.08;-0.18
373;-12.64;-1.63;373;-0.03;-0.11
374;-4.21;-1.77;374;-0.03;-0.13
375;-12.42;-1.63;375;-0.02;-0.11
376;-4.14;-1.77;376;-0.02;-0.12
377;-38.56;-0.35;377;-0.05;-0.11
378;-29.99;-0.91;378;-0.05;-0.13
379;-21.42;-1.34;379;-0.06;-0.11
380;-37.26;-0.35;380;-0.07;-0.13
381;-37.91;-0.35;381;0.07;-0.15
382;-20.7;-1.34;382;0.05;-0.14
383;-28.98;-0.91;383;0.04;-0.14
384;-21.06;-1.34;384;0.02;-0.14
385;-29.48;-0.91;385;0.06;-0.16
386;-13.5;-1.63;386;0.06;-0.18
387;-4.5;-1.77;387;0.08;-0.16
388;-13.28;-1.63;388;0.08;-0.18
389;-4.43;-1.77;389;0.04;-0.16
390;-13.07;-1.63;390;0.04;-0.18
391;-4.36;-1.77;391;0.02;-0.16
392;-40.5;-0.35;392;0.02;-0.18
393;-31.5;-0.91;393;0.05;-0.11
394;-22.5;-1.34;394;0.05;-0.13
395;-39.2;-0.35;395;0.06;-0.11
396;-39.85;-0.35;396;0.07;-0.13
397;-21.78;-1.34;397;0.03;-0.11
398;-30.49;-0.91;398;0.03;-0.13
399;-22.14;-1.34;399;0.02;-0.11
400;-31;-0.91;400;0.02;-0.12
401;29.99;-0.91;401;0;-0.35
402;38.56;-0.35;402;0;-0.32
403;29.48;-0.91;403;0;-0.3
404;37.91;-0.35;404;0;-0.27
405;28.98;-0.91;405;0;-0.25
406;37.26;-0.35;406;0;-0.23
407;21.42;-1.34;407;-0.03;-0.3
408;21.06;-1.34;408;-0.05;-0.3
409;20.7;-1.34;409;-0.08;-0.3
410;4.28;-1.77;410;-0.1;-0.3
411;12.85;-1.63;411;-0.05;-0.33
412;4.14;-1.77;412;-0.06;-0.35
413;4.21;-1.77;413;-0.03;-0.32
414;12.42;-1.63;414;-0.03;-0.35
415;12.64;-1.63;415;-0.08;-0.33
416;31.5;-0.91;416;-0.08;-0.35
417;40.5;-0.35;417;-0.11;-0.33
418;31;-0.91;418;-0.11;-0.35
419;39.85;-0.35;419;-0.04;-0.23
420;30.49;-0.91;420;-0.05;-0.25
421;39.2;-0.35;421;-0.05;-0.27
422;22.5;-1.34;422;-0.02;-0.25
423;22.14;-1.34;423;-0.02;-0.23
424;21.78;-1.34;424;-0.02;-0.27
425;4.5;-1.77;425;-0.09;-0.25
426;13.5;-1.63;426;-0.07;-0.25
427;4.43;-1.77;427;-0.09;-0.23
428;13.28;-1.63;428;-0.07;-0.23
429;4.36;-1.77;429;-0.1;-0.28
430;13.07;-1.63;430;-0.07;-0.27
431;-11.34;-1.63;431;0.1;-0.3
432;-3.78;-1.77;432;0.08;-0.3
433;-11.12;-1.63;433;0.05;-0.3
434;-3.71;-1.77;434;0.03;-0.3
435;-10.91;-1.63;435;0.08;-0.33
436;-3.64;-1.77;436;0.08;-0.35
437;-34.02;-0.35;437;0.11;-0.33
438;-26.46;-0.91;438;0.11;-0.35
439;-18.9;-1.34;439;0.05;-0.33
440;-32.72;-0.35;440;0.06;-0.35
441;-33.37;-0.35;441;0.03;-0.32
442;-18.18;-1.34;442;0.03;-0.35
443;-25.45;-0.91;443;0.07;-0.23
444;-18.54;-1.34;444;0.07;-0.25
445;-25.96;-0.91;445;0.07;-0.27
446;-11.99;-1.63;446;0.09;-0.25
447;-12.2;-1.63;447;0.09;-0.23
448;-4;-1.77;448;0.1;-0.28
449;-4.07;-1.77;449;0.02;-0.25
450;-11.77;-1.63;450;0.05;-0.25
451;-3.92;-1.77;451;0.02;-0.23
452;-11.56;-1.63;452;0.04;-0.23
453;-3.85;-1.77;453;0.02;-0.27
454;-35.96;-0.35;454;0.05;-0.27
455;-36.61;-0.35;455;-0.16;-0.8
456;-27.97;-0.91;456;-0.12;-0.8
457;-28.48;-0.91;457;-0.08;-0.79
458;-19.98;-1.34;458;-0.04;-0.79
459;-20.34;-1.34;459;0;-0.79
460;-34.67;-0.35;460;0.04;-0.79
461;-35.32;-0.35;461;0.08;-0.79
462;-19.26;-1.34;462;0.12;-0.8
463;-26.96;-0.91;463;0.16;-0.8
464;-19.62;-1.34;464;-0.14;-0.57
465;-27.47;-0.91;465;-0.1;-0.57
466;26.46;-0.91;466;-0.07;-0.57
467;34.02;-0.35;467;-0.03;-0.57
468;25.96;-0.91;468;0;-0.57
469;33.37;-0.35;469;0.03;-0.57
470;25.45;-0.91;470;0.07;-0.57
471;32.72;-0.35;471;0.1;-0.57
472;18.9;-1.34;472;0.14;-0.57
473;18.54;-1.34;473;0;-0.54
474;18.18;-1.34;474;0;-0.5
475;3.78;-1.77;475;0;-0.47
476;11.34;-1.63;476;0;-0.44
477;3.64;-1.77;477;0;-0.41
478;3.71;-1.77;478;-0.03;-0.47
479;10.91;-1.63;479;-0.06;-0.47
480;11.12;-1.63;480;-0.09;-0.47
481;28.48;-0.91;481;-0.13;-0.47
482;36.61;-0.35;482;-0.06;-0.5
483;27.97;-0.91;483;-0.07;-0.54
484;35.96;-0.35;484;-0.03;-0.5
485;27.47;-0.91;485;-0.03;-0.54
486;35.32;-0.35;486;-0.1;-0.5
487;26.96;-0.91;487;-0.1;-0.54
488;34.67;-0.35;488;-0.13;-0.51
489;4;-1.77;489;-0.13;-0.54
490;4.07;-1.77;490;-0.06;-0.41
491;19.98;-1.34;491;-0.06;-0.44
492;11.99;-1.63;492;-0.03;-0.41
493;20.34;-1.34;493;-0.03;-0.44
494;12.2;-1.63;494;-0.09;-0.41
495;3.85;-1.77;495;-0.09;-0.44
496;3.92;-1.77;496;-0.12;-0.41
497;11.56;-1.63;497;-0.12;-0.44
498;11.77;-1.63;498;0.13;-0.47
499;19.26;-1.34;499;0.09;-0.47
500;19.62;-1.34;500;0.06;-0.47
501;-10.04;-1.63;501;0.03;-0.47
502;-3.35;-1.77;502;0.1;-0.5
503;-9.83;-1.63;503;0.1;-0.54
504;-3.28;-1.77;504;0.13;-0.51
505;-9.61;-1.63;505;0.13;-0.54
506;-3.2;-1.77;506;0.06;-0.5
507;-30.13;-0.35;507;0.07;-0.54
508;-23.44;-0.91;508;0.03;-0.5
509;-16.74;-1.34;509;0.03;-0.54
510;-28.84;-0.35;510;0.09;-0.41
511;-29.48;-0.35;511;0.09;-0.44
512;-22.43;-0.91;512;0.12;-0.41
513;-22.93;-0.91;513;0.12;-0.44
514;-16.02;-1.34;514;0.06;-0.41
515;-16.38;-1.34;515;0.06;-0.44
516;-10.69;-1.63;516;0.03;-0.41
517;-3.56;-1.77;517;0.03;-0.44
518;-10.48;-1.63;518;0;-0.75
519;-3.49;-1.77;519;0;-0.72
520;-10.26;-1.63;520;0;-0.68
521;-3.42;-1.77;521;0;-0.64
522;-32.08;-0.35;522;0;-0.61
523;-24.95;-0.91;523;-0.04;-0.68
524;-17.82;-1.34;524;-0.07;-0.68
525;-30.78;-0.35;525;-0.11;-0.68
526;-31.43;-0.35;526;-0.15;-0.68
527;-17.1;-1.34;527;-0.08;-0.72
528;-23.94;-0.91;528;-0.08;-0.76
529;-17.46;-1.34;529;-0.04;-0.72
530;-24.44;-0.91;530;-0.04;-0.76
531;23.44;-0.91;531;-0.15;-0.72
532;30.13;-0.35;532;-0.11;-0.72
533;22.93;-0.91;533;-0.15;-0.76
534;29.48;-0.35;534;-0.12;-0.76
535;22.43;-0.91;535;-0.07;-0.61
536;28.84;-0.35;536;-0.07;-0.64
537;3.35;-1.77;537;-0.04;-0.61
538;10.04;-1.63;538;-0.04;-0.64
539;16.74;-1.34;539;-0.11;-0.61
540;3.2;-1.77;540;-0.11;-0.64
541;3.28;-1.77;541;-0.14;-0.61
542;16.02;-1.34;542;-0.14;-0.64
543;9.61;-1.63;543;0.15;-0.68
544;16.38;-1.34;544;0.11;-0.68
545;9.83;-1.63;545;0.07;-0.68
546;24.95;-0.91;546;0.04;-0.68
547;32.08;-0.35;547;0.11;-0.72
548;24.44;-0.91;548;0.12;-0.76
549;31.43;-0.35;549;0.15;-0.72
550;23.94;-0.91;550;0.15;-0.76
551;30.78;-0.35;551;0.08;-0.72
552;17.82;-1.34;552;0.08;-0.76
553;17.46;-1.34;553;0.04;-0.72
554;17.1;-1.34;554;0.04;-0.76
555;3.56;-1.77;555;0.11;-0.61
556;10.69;-1.63;556;0.11;-0.64
557;3.49;-1.77;557;0.14;-0.61
558;10.48;-1.63;558;0.14;-0.64
559;3.42;-1.77;559;0.07;-0.61
560;10.26;-1.63;560;0.07;-0.64
561;-8.75;-1.63;561;0.04;-0.61
562;-2.92;-1.77;562;0.04;-0.64
563;-8.32;-1.63;563;-0.18;-1.05
564;-8.53;-1.63;564;-0.13;-1.05
565;-2.77;-1.77;565;-0.09;-1.05
566;-2.84;-1.77;566;-0.04;-1.05
567;-14.58;-1.34;567;0;-1.05
568;-14.22;-1.34;568;0.04;-1.05
569;-13.86;-1.34;569;0.09;-1.05
570;-26.24;-0.35;570;0.13;-1.05
571;-20.41;-0.91;571;0.18;-1.05
572;-24.95;-0.35;572;0;-1
573;-25.6;-0.35;573;0;-0.96
574;-19.4;-0.91;574;0;-0.92
575;-19.91;-0.91;575;0;-0.88
576;-9.4;-1.63;576;0;-0.83
577;-3.13;-1.77;577;-0.04;-0.92
578;-9.18;-1.63;578;-0.08;-0.92
579;-3.06;-1.77;579;-0.13;-0.92
580;-8.96;-1.63;580;-0.17;-0.92
581;-2.99;-1.77;581;-0.09;-0.96
582;-15.66;-1.34;582;-0.09;-1
583;-15.3;-1.34;583;-0.04;-0.96
584;-14.94;-1.34;584;-0.04;-1
585;-28.19;-0.35;585;-0.17;-0.96
586;-21.92;-0.91;586;-0.13;-0.96
587;-26.89;-0.35;587;-0.17;-1
588;-27.54;-0.35;588;-0.13;-1
589;-20.92;-0.91;589;-0.08;-0.83
590;-21.42;-0.91;590;-0.08;-0.88
591;20.41;-0.91;591;-0.04;-0.83
592;26.24;-0.35;592;-0.04;-0.88
